,bfs,bts,graph,faiss
XP_018229027.1,NP_013207.1,NP_013207.1,NP_013207.1,NP_013207.1
XP_018230348.1,NP_012980.1,NP_012980.1,NP_012980.1,NP_012980.1
XP_018231052.1,NP_011967.1,NP_011967.1,NP_011967.1,NP_011967.1
XP_018229530.1,NP_010745.3,NP_010745.3,NP_010745.3,NP_010745.3
XP_018229244.1,NP_013060.1,NP_013060.1,NP_013060.1,NP_013060.1
XP_018229614.1,NP_011320.3,NP_011320.3,NP_011320.3,NP_011320.3
XP_018230209.1,NP_009698.3,NP_009698.3,NP_009698.3,NP_009698.3
XP_018228742.1,NP_009551.2,NP_009551.2,NP_009551.2,NP_009551.2
XP_018229651.1,NP_013559.1,NP_013559.1,NP_013559.1,NP_013559.1
XP_018229046.1,NP_009961.2,NP_009961.2,NP_009961.2,NP_009961.2
XP_018230186.1,NP_009694.3,NP_009694.3,NP_009694.3,NP_009694.3
XP_018230254.1,NP_012035.1,NP_012035.1,NP_012035.1,NP_012035.1
XP_018230551.1,NP_012719.2,NP_012719.2,NP_012719.2,NP_012719.2
XP_018231200.1,NP_012137.3,NP_012137.3,NP_012137.3,NP_012137.3
XP_018229978.1,NP_011888.1,NP_011888.1,NP_011888.1,NP_011888.1
XP_018230224.1,NP_013934.1,NP_013934.1,NP_013934.1,NP_013934.1
XP_018231166.1,NP_012405.2,NP_012405.2,NP_012405.2,NP_012405.2
XP_018230232.1,NP_014137.1,NP_014137.1,NP_014137.1,NP_014137.1
XP_018227925.1,NP_011099.1,NP_011099.1,NP_011099.1,NP_011099.1
XP_018230392.1,NP_010017.2,NP_010017.2,NP_010017.2,NP_010017.2
XP_018228144.1,NP_116674.2,NP_116674.2,NP_116674.2,NP_116674.2
XP_018228737.1,NP_013124.1,NP_013124.1,NP_013124.1,NP_013124.1
XP_018229727.1,NP_012328.1,NP_012328.1,NP_012328.1,NP_012328.1
XP_018229049.1,NP_014260.3,NP_014260.3,NP_014260.3,NP_014260.3
XP_018228350.1,NP_013424.1,NP_013424.1,NP_013424.1,NP_013424.1
XP_018229144.1,NP_013446.1,NP_013446.1,NP_013446.1,NP_013446.1
XP_018230199.1,NP_011787.4,NP_011787.4,NP_011787.4,NP_011787.4
XP_018228833.1,NP_013021.1,NP_013021.1,NP_013021.1,NP_013021.1
XP_018230780.1,NP_013534.3,NP_013534.3,NP_013534.3,NP_013534.3
XP_018228429.1,NP_013408.1,NP_013408.1,NP_013408.1,NP_013408.1
XP_018228912.1,NP_116648.2,NP_116648.2,NP_116648.2,NP_116648.2
XP_018229930.1,NP_011082.3,NP_011082.3,NP_011082.3,NP_011082.3
XP_018228832.1,NP_011423.1,NP_011423.1,NP_011423.1,NP_011423.1
XP_018229154.1,NP_010454.3,NP_010454.3,NP_010454.3,NP_010454.3
XP_018231500.1,NP_015243.1,NP_015243.1,NP_015243.1,NP_015243.1
