,bfs,bts,graph,faiss
XP_018224486.1,NP_588370.1,NP_588370.1,NP_588370.1,NP_588370.1
XP_018225276.1,NP_596275.1,NP_596275.1,NP_596275.1,NP_596275.1
XP_018226782.1,NP_595777.2,NP_595777.2,NP_595777.2,NP_595777.2
XP_018225744.1,NP_594902.1,NP_594902.1,NP_594902.1,NP_594902.1
XP_018224326.1,NP_001342827.1,NP_001342827.1,NP_001342827.1,NP_001342827.1
XP_018226348.1,NP_588126.1,NP_588126.1,NP_588126.1,NP_588126.1
XP_018226646.1,NP_594183.2,NP_594183.2,NP_594183.2,NP_594183.2
XP_018225829.1,NP_593669.1,NP_593669.1,NP_593669.1,NP_593669.1
XP_018226360.1,NP_596713.1,NP_596713.1,NP_596713.1,NP_596713.1
XP_018224465.1,NP_595759.2,NP_595759.2,NP_595759.2,NP_595759.2
XP_018225238.1,NP_595357.1,NP_595357.1,NP_595357.1,NP_595357.1
XP_018227701.1,NP_593861.1,NP_593861.1,NP_593861.1,NP_593861.1
XP_018227408.1,NP_595359.2,NP_595359.2,NP_595359.2,NP_595359.2
XP_018227007.1,NP_593816.1,NP_593816.1,NP_593816.1,NP_593816.1
XP_018225341.1,NP_593271.2,NP_593271.2,NP_593271.2,NP_593271.2
XP_018225979.1,NP_596172.1,NP_596172.1,NP_596172.1,NP_596172.1
XP_018226012.1,NP_593055.1,NP_593055.1,NP_593055.1,NP_593055.1
XP_018225326.1,NP_596354.1,NP_596354.1,NP_596354.1,NP_596354.1
XP_018226618.1,NP_593346.1,NP_593346.1,NP_593346.1,NP_593346.1
XP_018226237.1,NP_593323.1,NP_593323.1,NP_593323.1,NP_593323.1
XP_018226365.1,NP_596158.2,NP_596158.2,NP_596158.2,NP_596158.2
XP_018227726.1,NP_596090.2,NP_596090.2,NP_596090.2,NP_596090.2
XP_018224879.1,NP_001342706.1,NP_001342706.1,NP_001342706.1,NP_001342706.1
XP_018224256.1,NP_593757.1,NP_593757.1,NP_593757.1,NP_593757.1
XP_018224461.1,NP_001342811.1,NP_001342811.1,NP_001342811.1,NP_001342811.1
XP_018225516.1,NP_587903.1,NP_587903.1,NP_587903.1,NP_587903.1
XP_018225644.1,NP_588501.1,NP_588501.1,NP_588501.1,NP_588501.1
XP_018224533.1,NP_588236.1,NP_588236.1,NP_588236.1,NP_588236.1
XP_018225251.1,NP_596560.1,NP_596560.1,NP_596560.1,NP_596560.1
XP_018227285.1,NP_596055.1,NP_596055.1,NP_596055.1,NP_596055.1
XP_018224184.1,NP_596713.1,NP_596713.1,NP_596713.1,NP_596713.1
