,bfs,bts,graph,faiss
XP_018229027.1,NP_588370.1,NP_588370.1,NP_588370.1,NP_588370.1
XP_018230348.1,CCG82670.1,CCG82670.1,CCG82670.1,CCG82670.1
XP_018231052.1,NP_011967.1,NP_011967.1,NP_011967.1,NP_011967.1
XP_018229530.1,NP_594902.1,NP_594902.1,NP_594902.1,NP_594902.1
XP_018229244.1,NP_001342827.1,NP_001342827.1,NP_001342827.1,NP_001342827.1
XP_018229614.1,NP_593669.1,NP_593669.1,NP_593669.1,NP_593669.1
XP_018230209.1,NP_009698.3,NP_009698.3,NP_009698.3,NP_009698.3
XP_018228742.1,NP_596713.1,NP_596713.1,NP_596713.1,NP_596713.1
XP_018229651.1,NP_594183.2,NP_594183.2,NP_594183.2,NP_594183.2
XP_018229046.1,NP_009961.2,NP_009961.2,NP_009961.2,NP_009961.2
XP_018230186.1,NP_595357.1,NP_595357.1,NP_595357.1,NP_595357.1
XP_018230254.1,NP_593861.1,NP_593861.1,NP_593861.1,NP_593861.1
XP_018230551.1,NP_595359.2,NP_595359.2,NP_595359.2,NP_595359.2
XP_018231200.1,NP_596172.1,NP_596172.1,NP_596172.1,NP_596172.1
XP_018229978.1,CCG81796.1,CCG81796.1,CCG81796.1,CCG81796.1
XP_018230224.1,NP_013934.1,NP_013934.1,NP_013934.1,NP_013934.1
XP_018231166.1,NP_593055.1,NP_593055.1,NP_593055.1,NP_593055.1
XP_018230232.1,NP_596354.1,NP_596354.1,NP_596354.1,NP_596354.1
XP_018227925.1,NP_593346.1,NP_593346.1,NP_593346.1,NP_593346.1
XP_018230392.1,NP_593323.1,NP_593323.1,NP_593323.1,NP_593323.1
XP_018228144.1,NP_596090.2,NP_596090.2,NP_596090.2,NP_596090.2
XP_018228737.1,NP_596158.2,NP_596158.2,NP_596158.2,NP_596158.2
XP_018229727.1,NP_001342706.1,NP_001342706.1,NP_001342706.1,NP_001342706.1
XP_018229049.1,NP_001342811.1,NP_001342811.1,NP_001342811.1,NP_001342811.1
XP_018228350.1,NP_593757.1,NP_593757.1,NP_593757.1,NP_593757.1
XP_018229144.1,NP_013446.1,NP_013446.1,NP_013446.1,NP_013446.1
XP_018230199.1,NP_596560.1,NP_596560.1,NP_596560.1,NP_596560.1
XP_018228833.1,NP_013021.1,NP_013021.1,NP_013021.1,NP_013021.1
XP_018230780.1,NP_596055.1,NP_596055.1,NP_596055.1,NP_596055.1
XP_018228429.1,NP_595304.1,NP_595304.1,NP_595304.1,NP_595304.1
XP_018228912.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_018229930.1,NP_011082.3,NP_011082.3,NP_011082.3,NP_011082.3
XP_018228832.1,NP_001417946.1,NP_001417946.1,NP_001417946.1,NP_001417946.1
XP_018229154.1,NP_594954.1,NP_594954.1,NP_594954.1,NP_594954.1
XP_018231500.1,NP_596080.2,NP_596080.2,NP_596080.2,NP_596080.2
XP_018230850.1,NP_001342940.1,NP_001342940.1,NP_001342940.1,NP_001342940.1
XP_018230312.1,NP_595673.1,NP_595673.1,NP_595673.1,NP_595673.1
XP_018231196.1,NP_587943.2,NP_587943.2,NP_587943.2,NP_587943.2
XP_018231007.1,NP_592917.2,NP_592917.2,NP_592917.2,NP_592917.2
XP_018229783.1,NP_594737.1,NP_594737.1,NP_594737.1,NP_594737.1
XP_018229808.1,NP_594633.2,NP_594633.2,NP_594633.2,NP_594633.2
XP_018229704.1,NP_592953.1,NP_592953.1,NP_592953.1,NP_592953.1
XP_018230411.1,NP_596604.1,NP_596604.1,NP_596604.1,NP_596604.1
XP_018228187.1,NP_587890.1,NP_587890.1,NP_587890.1,NP_587890.1
