,bfs,bts,graph,faiss
XP_007873740.1,NP_588370.1,NP_588370.1,NP_588370.1,NP_588370.1
XP_007874193.1,CCG82670.1,CCG82670.1,CCG82670.1,CCG82670.1
XP_007873426.1,NP_011967.1,NP_011967.1,NP_011967.1,NP_011967.1
XP_007873982.1,NP_594902.1,NP_594902.1,NP_594902.1,NP_594902.1
XP_007875440.1,NP_001342827.1,NP_001342827.1,NP_001342827.1,NP_001342827.1
XP_007874883.1,NP_588126.1,NP_588126.1,NP_588126.1,NP_588126.1
XP_007873581.1,NP_594183.2,NP_594183.2,NP_594183.2,NP_594183.2
XP_007873891.1,NP_593669.1,NP_593669.1,NP_593669.1,NP_593669.1
XP_007872137.1,NP_596713.1,NP_596713.1,NP_596713.1,NP_596713.1
XP_007873763.1,NP_009961.2,NP_009961.2,NP_009961.2,NP_009961.2
XP_007874153.1,NP_595357.1,NP_595357.1,NP_595357.1,NP_595357.1
XP_007875120.1,NP_593861.1,NP_593861.1,NP_593861.1,NP_593861.1
XP_007872205.1,NP_595359.2,NP_595359.2,NP_595359.2,NP_595359.2
XP_007872910.1,CCG81796.1,CCG81796.1,CCG81796.1,CCG81796.1
XP_007874790.1,NP_596172.1,NP_596172.1,NP_596172.1,NP_596172.1
XP_007874752.1,NP_593055.1,NP_593055.1,NP_593055.1,NP_593055.1
XP_007874997.1,NP_013934.1,NP_013934.1,NP_013934.1,NP_013934.1
XP_007875013.1,NP_596354.1,NP_596354.1,NP_596354.1,NP_596354.1
XP_007871857.1,NP_593346.1,NP_593346.1,NP_593346.1,NP_593346.1
XP_007872621.1,NP_593323.1,NP_593323.1,NP_593323.1,NP_593323.1
XP_007872130.1,NP_596158.2,NP_596158.2,NP_596158.2,NP_596158.2
XP_007875144.1,NP_596090.2,NP_596090.2,NP_596090.2,NP_596090.2
XP_007874362.1,NP_001342706.1,NP_001342706.1,NP_001342706.1,NP_001342706.1
XP_007873260.1,NP_593757.1,NP_593757.1,NP_593757.1,NP_593757.1
XP_007873766.1,NP_001342811.1,NP_001342811.1,NP_001342811.1,NP_001342811.1
XP_007875243.1,NP_013446.1,NP_013446.1,NP_013446.1,NP_013446.1
XP_007875382.1,NP_587903.1,NP_587903.1,NP_587903.1,NP_587903.1
XP_007873689.1,NP_588236.1,NP_588236.1,NP_588236.1,NP_588236.1
XP_007874167.1,NP_596560.1,NP_596560.1,NP_596560.1,NP_596560.1
XP_007874836.1,NP_011082.3,NP_011082.3,NP_011082.3,NP_011082.3
XP_007874217.1,NP_013408.1,NP_013408.1,NP_013408.1,NP_013408.1
XP_019613354.1,NP_594954.1,NP_594954.1,NP_594954.1,NP_594954.1
XP_007873168.1,NP_596080.2,NP_596080.2,NP_596080.2,NP_596080.2
XP_007873010.1,NP_001342940.1,NP_001342940.1,NP_001342940.1,NP_001342940.1
XP_007873688.1,NP_001417946.1,NP_001417946.1,NP_001417946.1,NP_001417946.1
XP_007872335.1,NP_596055.1,NP_596055.1,NP_596055.1,NP_596055.1
XP_007874786.1,NP_587943.2,NP_587943.2,NP_587943.2,NP_587943.2
XP_007874388.1,NP_592953.1,NP_592953.1,NP_592953.1,NP_592953.1
XP_007872498.1,NP_596604.1,NP_596604.1,NP_596604.1,NP_596604.1
XP_007875044.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_007874963.1,NP_592917.2,NP_592917.2,NP_592917.2,NP_592917.2
XP_007875649.1,NP_596576.1,NP_596576.1,NP_596576.1,NP_596576.1
XP_007875505.1,NP_594550.1,NP_594550.1,NP_594550.1,NP_594550.1
XP_007874534.1,NP_594985.1,NP_594985.1,NP_594985.1,NP_594985.1
XP_007874879.1,NP_593414.2,NP_593414.2,NP_593414.2,NP_593414.2
XP_007874174.1,NP_014986.3,NP_014986.3,NP_014986.3,NP_014986.3
XP_007872781.1,NP_010141.1,NP_010141.1,NP_010141.1,NP_010141.1
XP_007874679.1,NP_011309.1,NP_011309.1,NP_011309.1,NP_011309.1
XP_007874571.1,NP_594633.2,NP_594633.2,NP_594633.2,NP_594633.2
XP_007872565.1,NP_596004.1,NP_596004.1,NP_596004.1,NP_596004.1
XP_007874516.1,CCG84023.1,CCG84023.1,CCG84023.1,CCG84023.1
XP_007874532.1,NP_592869.1,NP_592869.1,NP_592869.1,NP_592869.1
XP_007873215.1,NP_013986.1,NP_013986.1,NP_013986.1,NP_013986.1
XP_007873575.1,NP_587890.1,NP_587890.1,NP_587890.1,NP_587890.1
XP_007871924.1,NP_593414.2,NP_593414.2,NP_593414.2,NP_593414.2
XP_007872055.1,CCG80780.1,CCG80780.1,CCG80780.1,CCG80780.1
XP_007874359.1,NP_594681.1,NP_594681.1,NP_594681.1,NP_594681.1
XP_007872290.1,NP_009399.2,NP_009399.2,NP_009399.2,NP_009399.2
XP_007872597.1,NP_011828.1,NP_011828.1,NP_011828.1,NP_011828.1
XP_007873446.1,NP_596174.1,NP_596174.1,NP_596174.1,NP_596174.1
XP_007872676.1,NP_009655.2,NP_009655.2,NP_009655.2,NP_009655.2
XP_007874170.1,NP_595991.2,NP_595991.2,NP_595991.2,NP_595991.2
XP_007875288.1,NP_595281.1,NP_595281.1,NP_595281.1,NP_595281.1
XP_007872535.1,NP_014311.3,NP_014311.3,NP_014311.3,NP_014311.3
XP_007873179.1,NP_593217.1,NP_593217.1,NP_593217.1,NP_593217.1
XP_007872381.1,NP_015510.1,NP_015510.1,NP_015510.1,NP_015510.1
XP_007873235.1,NP_592909.1,NP_592909.1,NP_592909.1,NP_592909.1
XP_007874860.1,NP_001018270.2,NP_001018270.2,NP_001018270.2,NP_001018270.2
XP_007874982.1,NP_596613.1,NP_596613.1,NP_596613.1,NP_596613.1
XP_007871956.1,NP_596804.1,NP_596804.1,NP_596804.1,NP_596804.1
XP_007874987.1,NP_596645.1,NP_596645.1,NP_596645.1,NP_596645.1
XP_007873631.1,NP_001342781.1,NP_001342781.1,NP_001342781.1,NP_001342781.1
XP_007871925.1,NP_593082.1,NP_593082.1,NP_593082.1,NP_593082.1
XP_007872316.1,NP_595441.1,NP_595441.1,NP_595441.1,NP_595441.1
XP_007873867.1,NP_592986.1,NP_592986.1,NP_592986.1,NP_592986.1
XP_007872608.1,NP_014971.1,NP_014971.1,NP_014971.1,NP_014971.1
XP_007874184.1,NP_594186.1,NP_594186.1,NP_594186.1,NP_594186.1
XP_007875003.1,NP_595354.1,NP_595354.1,NP_595354.1,NP_595354.1
XP_007873840.1,NP_595385.1,NP_595385.1,NP_595385.1,NP_595385.1
XP_007873779.1,NP_595506.1,NP_595506.1,NP_595506.1,NP_595506.1
XP_007874110.1,NP_001342861.1,NP_001342861.1,NP_001342861.1,NP_001342861.1
XP_007873086.2,NP_594602.1,NP_594602.1,NP_594602.1,NP_594602.1
XP_007874146.1,NP_595055.1,NP_595055.1,NP_595055.1,NP_595055.1
XP_007873947.1,NP_001342916.1,NP_001342916.1,NP_001342916.1,NP_001342916.1
XP_019613300.1,NP_593890.1,NP_593890.1,NP_593890.1,NP_593890.1
XP_007873774.1,NP_594487.2,NP_594487.2,NP_594487.2,NP_594487.2
XP_007873425.1,NP_011575.1,NP_011575.1,NP_011575.1,NP_011575.1
XP_007872419.1,NP_594084.1,NP_594084.1,NP_594084.1,NP_594084.1
XP_007875092.1,NP_588487.1,NP_588487.1,NP_588487.1,NP_588487.1
XP_007873713.1,NP_012338.1,NP_012338.1,NP_012338.1,NP_012338.1
XP_007875114.1,NP_595392.1,NP_595392.1,NP_595392.1,NP_595392.1
XP_007873087.1,NP_595925.1,NP_595925.1,NP_595925.1,NP_595925.1
XP_007872207.1,CCG83306.1,CCG83306.1,CCG83306.1,CCG83306.1
XP_007872920.1,NP_012140.1,NP_012140.1,NP_012140.1,NP_012140.1
XP_007872747.1,NP_593370.1,NP_593370.1,NP_593370.1,NP_593370.1
XP_007875683.1,NP_587866.3,NP_587866.3,NP_587866.3,NP_587866.3
XP_007874451.1,NP_593860.1,NP_593860.1,NP_593860.1,NP_593860.1
XP_007875019.1,NP_594115.1,NP_594115.1,NP_594115.1,NP_594115.1
XP_007872467.1,NP_594759.1,NP_594759.1,NP_594759.1,NP_594759.1
XP_007875501.1,NP_596499.2,NP_596499.2,NP_596499.2,NP_596499.2
XP_007872799.1,NP_594824.1,NP_594824.1,NP_594824.1,NP_594824.1
XP_007873472.1,NP_593482.1,NP_593482.1,NP_593482.1,NP_593482.1
XP_007873583.1,NP_596127.1,NP_596127.1,NP_596127.1,NP_596127.1
XP_007872965.1,NP_001342968.1,NP_001342968.1,NP_001342968.1,NP_001342968.1
XP_007875155.1,NP_012713.1,NP_012713.1,NP_012713.1,NP_012713.1
XP_007874732.1,NP_595602.1,NP_595602.1,NP_595602.1,NP_595602.1
XP_019613396.1,NP_588351.1,NP_588351.1,NP_588351.1,NP_588351.1
XP_007872085.1,NP_596486.1,NP_596486.1,NP_596486.1,NP_596486.1
XP_019613343.1,NP_596466.1,NP_596466.1,NP_596466.1,NP_596466.1
XP_007872254.1,NP_596012.2,NP_596012.2,NP_596012.2,NP_596012.2
XP_007873518.1,NP_595335.1,NP_595335.1,NP_595335.1,NP_595335.1
XP_007874737.1,NP_595582.1,NP_595582.1,NP_595582.1,NP_595582.1
XP_007872918.1,NP_587882.1,NP_587882.1,NP_587882.1,NP_587882.1
XP_007874416.1,NP_594543.1,NP_594543.1,NP_594543.1,NP_594543.1
XP_007874777.1,NP_594459.2,NP_594459.2,NP_594459.2,NP_594459.2
XP_007875151.1,NP_593910.2,NP_593910.2,NP_593910.2,NP_593910.2
XP_007872561.1,NP_595890.2,NP_595890.2,NP_595890.2,NP_595890.2
XP_007873758.1,NP_588116.1,NP_588116.1,NP_588116.1,NP_588116.1
XP_007874036.1,NP_593286.1,NP_593286.1,NP_593286.1,NP_593286.1
XP_007875134.1,NP_001342781.1,NP_001342781.1,NP_001342781.1,NP_001342781.1
XP_007874158.1,NP_588095.1,NP_588095.1,NP_588095.1,NP_588095.1
XP_007875262.1,NP_594951.2,NP_594951.2,NP_594951.2,NP_594951.2
XP_007872237.1,NP_588106.2,NP_588106.2,NP_588106.2,NP_588106.2
XP_007872041.1,NP_594202.2,NP_594202.2,NP_594202.2,NP_594202.2
XP_007874624.1,NP_011656.3,NP_011656.3,NP_011656.3,NP_011656.3
XP_007873591.1,NP_596123.1,NP_596123.1,NP_596123.1,NP_596123.1
XP_007875286.1,NP_595279.1,NP_595279.1,NP_595279.1,NP_595279.1
XP_007872971.1,NP_593101.2,NP_593101.2,NP_593101.2,NP_593101.2
XP_007873333.1,NP_596340.1,NP_596340.1,NP_596340.1,NP_596340.1
XP_007873717.1,NP_596733.1,NP_596733.1,NP_596733.1,NP_596733.1
XP_007873751.1,NP_593535.1,NP_593535.1,NP_593535.1,NP_593535.1
XP_007875109.1,NP_015151.1,NP_015151.1,NP_015151.1,NP_015151.1
XP_007874391.1,NP_593092.1,NP_593092.1,NP_593092.1,NP_593092.1
