,bfs,bts,graph,faiss
XP_018229027.1,CCG84812.1,CCG84812.1,CCG84812.1,CCG84812.1
XP_018230348.1,CCG82670.1,CCG82670.1,CCG82670.1,CCG82670.1
XP_018231052.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018229530.1,CCG82029.1,CCG82029.1,CCG82029.1,CCG82029.1
XP_018229244.1,CCG82755.1,CCG82755.1,CCG82755.1,CCG82755.1
XP_018229614.1,CCG84085.1,CCG84085.1,CCG84085.1,CCG84085.1
XP_018230209.1,CCG83925.1,CCG83925.1,CCG83925.1,CCG83925.1
XP_018228742.1,CCG81703.1,CCG81703.1,CCG81703.1,CCG81703.1
XP_018229651.1,CCG82056.1,CCG82056.1,CCG82056.1,CCG82056.1
XP_018229046.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_018230186.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018230254.1,CCG82371.1,CCG82371.1,CCG82371.1,CCG82371.1
XP_018230551.1,CCG83265.1,CCG83265.1,CCG83265.1,CCG83265.1
XP_018231200.1,CCG81243.1,CCG81243.1,CCG81243.1,CCG81243.1
XP_018229978.1,CCG81796.1,CCG81796.1,CCG81796.1,CCG81796.1
XP_018230224.1,CCG82864.2,CCG82864.2,CCG82864.2,CCG82864.2
XP_018231166.1,CCG81009.1,CCG81009.1,CCG81009.1,CCG81009.1
XP_018230232.1,CCG82582.1,CCG82582.1,CCG82582.1,CCG82582.1
XP_018227925.1,CCG83995.1,CCG83995.1,CCG83995.1,CCG83995.1
XP_018230392.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_018228144.1,CCG81213.1,CCG81213.1,CCG81213.1,CCG81213.1
XP_018228737.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_018229727.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_018229049.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_018228350.1,CCG84634.1,CCG84634.1,CCG84634.1,CCG84634.1
XP_018229144.1,CCG80715.1,CCG80715.1,CCG80715.1,CCG80715.1
