,Query,T1,Score,Conf
0,NP_015233.1,NP_595048.1,0.61012,0.255828
1,NP_010186.1,NP_594776.1,0.44733,0.211318
2,NP_010148.1,NP_594978.1,0.4183,0.821247
3,NP_010097.1,NP_594978.1,0.4183,0.821247
4,NP_015308.1,NP_595589.1,0.88065,0.058809
5,NP_014632.1,NP_592781.1,0.33557,0.436223
