,bfs,bts,graph,faiss
XP_007873740.1,NP_013207.1,NP_013207.1,NP_013207.1,NP_013207.1
XP_007874193.1,NP_012980.1,NP_012980.1,NP_012980.1,NP_012980.1
XP_007873426.1,NP_011967.1,NP_011967.1,NP_011967.1,NP_011967.1
XP_007873982.1,NP_010745.3,NP_010745.3,NP_010745.3,NP_010745.3
XP_007875440.1,NP_013060.1,NP_013060.1,NP_013060.1,NP_013060.1
XP_007874883.1,NP_009465.2,NP_009465.2,NP_009465.2,NP_009465.2
XP_007873581.1,NP_013559.1,NP_013559.1,NP_013559.1,NP_013559.1
XP_007873891.1,NP_011320.3,NP_011320.3,NP_011320.3,NP_011320.3
XP_007872137.1,NP_009551.2,NP_009551.2,NP_009551.2,NP_009551.2
XP_007873763.1,NP_009961.2,NP_009961.2,NP_009961.2,NP_009961.2
XP_007874153.1,NP_009694.3,NP_009694.3,NP_009694.3,NP_009694.3
XP_007875120.1,NP_012035.1,NP_012035.1,NP_012035.1,NP_012035.1
XP_007872205.1,NP_012719.2,NP_012719.2,NP_012719.2,NP_012719.2
XP_007872910.1,NP_011888.1,NP_011888.1,NP_011888.1,NP_011888.1
XP_007874790.1,NP_012137.3,NP_012137.3,NP_012137.3,NP_012137.3
XP_007874752.1,NP_012405.2,NP_012405.2,NP_012405.2,NP_012405.2
XP_007874997.1,NP_013934.1,NP_013934.1,NP_013934.1,NP_013934.1
XP_007875013.1,NP_014137.1,NP_014137.1,NP_014137.1,NP_014137.1
XP_007871857.1,NP_011099.1,NP_011099.1,NP_011099.1,NP_011099.1
XP_007872621.1,NP_010017.2,NP_010017.2,NP_010017.2,NP_010017.2
XP_007872130.1,NP_013124.1,NP_013124.1,NP_013124.1,NP_013124.1
XP_007875144.1,NP_116674.2,NP_116674.2,NP_116674.2,NP_116674.2
XP_007874362.1,NP_012328.1,NP_012328.1,NP_012328.1,NP_012328.1
XP_007873260.1,NP_013424.1,NP_013424.1,NP_013424.1,NP_013424.1
XP_007873766.1,NP_014260.3,NP_014260.3,NP_014260.3,NP_014260.3
XP_007875243.1,NP_013446.1,NP_013446.1,NP_013446.1,NP_013446.1
XP_007875382.1,NP_011612.3,NP_011612.3,NP_011612.3,NP_011612.3
XP_007873689.1,NP_013021.1,NP_013021.1,NP_013021.1,NP_013021.1
XP_007874167.1,NP_011787.4,NP_011787.4,NP_011787.4,NP_011787.4
XP_007874836.1,NP_011082.3,NP_011082.3,NP_011082.3,NP_011082.3
XP_007874217.1,NP_013408.1,NP_013408.1,NP_013408.1,NP_013408.1
XP_019613354.1,NP_010454.3,NP_010454.3,NP_010454.3,NP_010454.3
XP_007873168.1,NP_015243.1,NP_015243.1,NP_015243.1,NP_015243.1
XP_007873010.1,NP_011833.1,NP_011833.1,NP_011833.1,NP_011833.1
XP_007873688.1,NP_011423.1,NP_011423.1,NP_011423.1,NP_011423.1
XP_007872335.1,NP_013534.3,NP_013534.3,NP_013534.3,NP_013534.3
XP_007874786.1,NP_012911.3,NP_012911.3,NP_012911.3,NP_012911.3
XP_007874388.1,NP_010425.1,NP_010425.1,NP_010425.1,NP_010425.1
XP_007872498.1,NP_012426.1,NP_012426.1,NP_012426.1,NP_012426.1
XP_007875044.1,NP_116648.2,NP_116648.2,NP_116648.2,NP_116648.2
XP_007874963.1,NP_010466.3,NP_010466.3,NP_010466.3,NP_010466.3
XP_007875649.1,NP_012674.1,NP_012674.1,NP_012674.1,NP_012674.1
XP_007875505.1,NP_014102.1,NP_014102.1,NP_014102.1,NP_014102.1
XP_007874534.1,NP_015240.1,NP_015240.1,NP_015240.1,NP_015240.1
XP_007874879.1,NP_012495.1,NP_012495.1,NP_012495.1,NP_012495.1
XP_007874174.1,NP_014986.3,NP_014986.3,NP_014986.3,NP_014986.3
XP_007872781.1,NP_010141.1,NP_010141.1,NP_010141.1,NP_010141.1
XP_007874679.1,NP_011309.1,NP_011309.1,NP_011309.1,NP_011309.1
XP_007874571.1,NP_012915.3,NP_012915.3,NP_012915.3,NP_012915.3
XP_007872565.1,NP_013975.1,NP_013975.1,NP_013975.1,NP_013975.1
XP_007874516.1,NP_009655.2,NP_009655.2,NP_009655.2,NP_009655.2
XP_007874532.1,NP_014128.2,NP_014128.2,NP_014128.2,NP_014128.2
XP_007873215.1,NP_013986.1,NP_013986.1,NP_013986.1,NP_013986.1
XP_007873575.1,NP_013956.1,NP_013956.1,NP_013956.1,NP_013956.1
XP_007871924.1,NP_013604.1,NP_013604.1,NP_013604.1,NP_013604.1
XP_007872055.1,NP_014227.4,NP_014227.4,NP_014227.4,NP_014227.4
XP_007874359.1,NP_010412.1,NP_010412.1,NP_010412.1,NP_010412.1
XP_007872290.1,NP_009399.2,NP_009399.2,NP_009399.2,NP_009399.2
XP_007872597.1,NP_011828.1,NP_011828.1,NP_011828.1,NP_011828.1
XP_007873446.1,NP_013901.1,NP_013901.1,NP_013901.1,NP_013901.1
XP_007872676.1,NP_009655.2,NP_009655.2,NP_009655.2,NP_009655.2
XP_007874170.1,NP_010569.3,NP_010569.3,NP_010569.3,NP_010569.3
XP_007875288.1,NP_014981.1,NP_014981.1,NP_014981.1,NP_014981.1
XP_007872535.1,NP_014311.3,NP_014311.3,NP_014311.3,NP_014311.3
XP_007873179.1,NP_014736.1,NP_014736.1,NP_014736.1,NP_014736.1
XP_007872381.1,NP_015510.1,NP_015510.1,NP_015510.1,NP_015510.1
XP_007873235.1,NP_012137.3,NP_012137.3,NP_012137.3,NP_012137.3
XP_007874860.1,NP_116620.1,NP_116620.1,NP_116620.1,NP_116620.1
XP_007874982.1,NP_012565.1,NP_012565.1,NP_012565.1,NP_012565.1
XP_007871956.1,NP_012095.1,NP_012095.1,NP_012095.1,NP_012095.1
XP_007874987.1,NP_012672.1,NP_012672.1,NP_012672.1,NP_012672.1
XP_007873631.1,NP_010621.1,NP_010621.1,NP_010621.1,NP_010621.1
XP_007871925.1,NP_012575.3,NP_012575.3,NP_012575.3,NP_012575.3
XP_007872316.1,NP_010587.1,NP_010587.1,NP_010587.1,NP_010587.1
XP_007873867.1,NP_012956.3,NP_012956.3,NP_012956.3,NP_012956.3
XP_007872608.1,NP_014971.1,NP_014971.1,NP_014971.1,NP_014971.1
XP_007874184.1,NP_014297.3,NP_014297.3,NP_014297.3,NP_014297.3
XP_007875003.1,NP_009696.2,NP_009696.2,NP_009696.2,NP_009696.2
XP_007873840.1,NP_012569.1,NP_012569.1,NP_012569.1,NP_012569.1
XP_007873779.1,NP_014759.1,NP_014759.1,NP_014759.1,NP_014759.1
XP_007874110.1,NP_011091.1,NP_011091.1,NP_011091.1,NP_011091.1
XP_007873086.2,NP_011466.1,NP_011466.1,NP_011466.1,NP_011466.1
XP_007874146.1,NP_013086.1,NP_013086.1,NP_013086.1,NP_013086.1
XP_007873947.1,NP_013348.1,NP_013348.1,NP_013348.1,NP_013348.1
XP_019613300.1,NP_011509.1,NP_011509.1,NP_011509.1,NP_011509.1
XP_007873774.1,NP_011631.1,NP_011631.1,NP_011631.1,NP_011631.1
XP_007873425.1,NP_011575.1,NP_011575.1,NP_011575.1,NP_011575.1
XP_007872419.1,NP_013146.1,NP_013146.1,NP_013146.1,NP_013146.1
XP_007875092.1,NP_015515.1,NP_015515.1,NP_015515.1,NP_015515.1
XP_007873713.1,NP_012338.1,NP_012338.1,NP_012338.1,NP_012338.1
XP_007875114.1,NP_013187.1,NP_013187.1,NP_013187.1,NP_013187.1
XP_007873087.1,NP_011263.2,NP_011263.2,NP_011263.2,NP_011263.2
XP_007872207.1,NP_011099.1,NP_011099.1,NP_011099.1,NP_011099.1
XP_007872920.1,NP_012140.1,NP_012140.1,NP_012140.1,NP_012140.1
XP_007872747.1,NP_012056.1,NP_012056.1,NP_012056.1,NP_012056.1
XP_007875683.1,NP_009706.3,NP_009706.3,NP_009706.3,NP_009706.3
XP_007874451.1,NP_015082.1,NP_015082.1,NP_015082.1,NP_015082.1
XP_007875019.1,NP_013412.1,NP_013412.1,NP_013412.1,NP_013412.1
XP_007872467.1,NP_009376.2,NP_009376.2,NP_009376.2,NP_009376.2
XP_007875501.1,NP_012034.1,NP_012034.1,NP_012034.1,NP_012034.1
XP_007872799.1,NP_011031.1,NP_011031.1,NP_011031.1,NP_011031.1
