,bfs,bts,graph,faiss
XP_007873740.1,NP_588370.1,NP_588370.1,NP_588370.1,NP_588370.1
XP_007874193.1,NP_596275.1,NP_596275.1,NP_596275.1,NP_596275.1
XP_007873426.1,NP_595777.2,NP_595777.2,NP_595777.2,NP_595777.2
XP_007873982.1,NP_594902.1,NP_594902.1,NP_594902.1,NP_594902.1
XP_007875440.1,NP_001342827.1,NP_001342827.1,NP_001342827.1,NP_001342827.1
XP_007874883.1,NP_588126.1,NP_588126.1,NP_588126.1,NP_588126.1
XP_007873581.1,NP_594183.2,NP_594183.2,NP_594183.2,NP_594183.2
XP_007873891.1,NP_593669.1,NP_593669.1,NP_593669.1,NP_593669.1
XP_007872137.1,NP_596713.1,NP_596713.1,NP_596713.1,NP_596713.1
XP_007873763.1,NP_595759.2,NP_595759.2,NP_595759.2,NP_595759.2
XP_007874153.1,NP_595357.1,NP_595357.1,NP_595357.1,NP_595357.1
XP_007875120.1,NP_593861.1,NP_593861.1,NP_593861.1,NP_593861.1
XP_007872205.1,NP_595359.2,NP_595359.2,NP_595359.2,NP_595359.2
XP_007872910.1,NP_593816.1,NP_593816.1,NP_593816.1,NP_593816.1
XP_007874790.1,NP_596172.1,NP_596172.1,NP_596172.1,NP_596172.1
XP_007874752.1,NP_593055.1,NP_593055.1,NP_593055.1,NP_593055.1
XP_007874997.1,NP_593271.2,NP_593271.2,NP_593271.2,NP_593271.2
XP_007875013.1,NP_596354.1,NP_596354.1,NP_596354.1,NP_596354.1
XP_007871857.1,NP_593346.1,NP_593346.1,NP_593346.1,NP_593346.1
XP_007872621.1,NP_593323.1,NP_593323.1,NP_593323.1,NP_593323.1
XP_007872130.1,NP_596158.2,NP_596158.2,NP_596158.2,NP_596158.2
XP_007875144.1,NP_596090.2,NP_596090.2,NP_596090.2,NP_596090.2
XP_007874362.1,NP_001342706.1,NP_001342706.1,NP_001342706.1,NP_001342706.1
XP_007873260.1,NP_593757.1,NP_593757.1,NP_593757.1,NP_593757.1
XP_007873766.1,NP_001342811.1,NP_001342811.1,NP_001342811.1,NP_001342811.1
XP_007875243.1,NP_588501.1,NP_588501.1,NP_588501.1,NP_588501.1
XP_007875382.1,NP_587903.1,NP_587903.1,NP_587903.1,NP_587903.1
XP_007873689.1,NP_588236.1,NP_588236.1,NP_588236.1,NP_588236.1
XP_007874167.1,NP_596560.1,NP_596560.1,NP_596560.1,NP_596560.1
XP_007874836.1,NP_592928.1,NP_592928.1,NP_592928.1,NP_592928.1
XP_007874217.1,NP_595304.1,NP_595304.1,NP_595304.1,NP_595304.1
XP_019613354.1,NP_594954.1,NP_594954.1,NP_594954.1,NP_594954.1
XP_007873168.1,NP_596080.2,NP_596080.2,NP_596080.2,NP_596080.2
XP_007873010.1,NP_001342940.1,NP_001342940.1,NP_001342940.1,NP_001342940.1
XP_007873688.1,NP_001417946.1,NP_001417946.1,NP_001417946.1,NP_001417946.1
XP_007872335.1,NP_596055.1,NP_596055.1,NP_596055.1,NP_596055.1
XP_007874786.1,NP_587943.2,NP_587943.2,NP_587943.2,NP_587943.2
XP_007874388.1,NP_592953.1,NP_592953.1,NP_592953.1,NP_592953.1
XP_007872498.1,NP_596604.1,NP_596604.1,NP_596604.1,NP_596604.1
XP_007875044.1,NP_594202.2,NP_594202.2,NP_594202.2,NP_594202.2
XP_007874963.1,NP_592917.2,NP_592917.2,NP_592917.2,NP_592917.2
XP_007875649.1,NP_596576.1,NP_596576.1,NP_596576.1,NP_596576.1
