,bfs,bts,graph,faiss
XP_007873740.1,CCG84812.1,CCG84812.1,CCG84812.1,CCG84812.1
XP_007874193.1,CCG82670.1,CCG82670.1,CCG82670.1,CCG82670.1
XP_007873426.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_007873982.1,CCG82029.1,CCG82029.1,CCG82029.1,CCG82029.1
XP_007875440.1,CCG82755.1,CCG82755.1,CCG82755.1,CCG82755.1
XP_007874883.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_007873581.1,CCG82056.1,CCG82056.1,CCG82056.1,CCG82056.1
XP_007873891.1,CCG82464.1,CCG82464.1,CCG82464.1,CCG82464.1
XP_007872137.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_007873763.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_007874153.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_007875120.1,CCG82371.1,CCG82371.1,CCG82371.1,CCG82371.1
XP_007872205.1,CCG83265.1,CCG83265.1,CCG83265.1,CCG83265.1
XP_007872910.1,CCG81796.1,CCG81796.1,CCG81796.1,CCG81796.1
XP_007874790.1,CCG81243.1,CCG81243.1,CCG81243.1,CCG81243.1
XP_007874752.1,CCG81009.1,CCG81009.1,CCG81009.1,CCG81009.1
XP_007874997.1,CCG82864.2,CCG82864.2,CCG82864.2,CCG82864.2
XP_007875013.1,CCG82582.1,CCG82582.1,CCG82582.1,CCG82582.1
XP_007871857.1,CCG83995.1,CCG83995.1,CCG83995.1,CCG83995.1
XP_007872621.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_007872130.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_007875144.1,CCG81213.1,CCG81213.1,CCG81213.1,CCG81213.1
XP_007874362.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_007873260.1,CCG84634.1,CCG84634.1,CCG84634.1,CCG84634.1
XP_007873766.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_007875243.1,CCG80715.1,CCG80715.1,CCG80715.1,CCG80715.1
XP_007875382.1,CCG82124.1,CCG82124.1,CCG82124.1,CCG82124.1
XP_007873689.1,CCG81738.1,CCG81738.1,CCG81738.1,CCG81738.1
XP_007874167.1,CCG83995.1,CCG83995.1,CCG83995.1,CCG83995.1
XP_007874836.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_007874217.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_019613354.1,CCG80699.1,CCG80699.1,CCG80699.1,CCG80699.1
XP_007873168.1,CCG83717.1,CCG83717.1,CCG83717.1,CCG83717.1
XP_007873010.1,CCG82037.1,CCG82037.1,CCG82037.1,CCG82037.1
XP_007873688.1,CCG80561.1,CCG80561.1,CCG83465.1,CCG80561.1
XP_007872335.1,CCG81844.1,CCG81844.1,CCG81844.1,CCG81844.1
XP_007874786.1,CCG83571.1,CCG83571.1,CCG83571.1,CCG83571.1
XP_007874388.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_007872498.1,CCG82051.1,CCG82051.1,CCG82051.1,CCG82051.1
XP_007875044.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_007874963.1,CCG81175.1,CCG81175.1,CCG81175.1,CCG81175.1
XP_007875649.1,CCG80969.1,CCG80969.1,CCG80969.1,CCG80969.1
XP_007875505.1,CCG84085.1,CCG84085.1,CCG84085.1,CCG84085.1
XP_007874534.1,CCG82131.1,CCG82131.1,CCG82131.1,CCG82131.1
XP_007874879.1,CCG81978.1,CCG81978.1,CCG81978.1,CCG81978.1
XP_007874174.1,CCG83927.1,CCG83927.1,CCG83927.1,CCG83927.1
XP_007872781.1,ABM26987.1,ABM26987.1,ABM26987.1,ABM26987.1
XP_007874679.1,CCG83768.1,CCG83768.1,CCG83768.1,CCG83768.1
XP_007874571.1,CCG82029.1,CCG82029.1,CCG82029.1,CCG82029.1
XP_007872565.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_007874516.1,CCG84023.1,CCG84023.1,CCG84023.1,CCG84023.1
XP_007874532.1,CCG81364.1,CCG81364.1,CCG81364.1,CCG81364.1
XP_007873215.1,CCG80987.1,CCG80987.1,CCG80987.1,CCG80987.1
XP_007873575.1,CCG82813.1,CCG82813.1,CCG82813.1,CCG82813.1
XP_007871924.1,CCG81978.1,CCG81978.1,CCG81978.1,CCG81978.1
XP_007872055.1,CCG80780.1,CCG80780.1,CCG80780.1,CCG80780.1
XP_007874359.1,CCG82719.1,CCG82719.1,CCG82719.1,CCG82719.1
XP_007872290.1,CCG82954.1,CCG82954.1,CCG82954.1,CCG82954.1
XP_007872597.1,CCG81763.1,CCG81763.1,CCG81763.1,CCG81763.1
XP_007873446.1,CCG84149.1,CCG84149.1,CCG84149.1,CCG84149.1
XP_007872676.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007874170.1,CCG84525.1,CCG84525.1,CCG84525.1,CCG84525.1
XP_007875288.1,CCG83306.1,CCG83306.1,CCG82158.1,CCG83306.1
XP_007872535.1,CCG81723.1,CCG81723.1,CCG81723.1,CCG81723.1
XP_007873179.1,CCG80614.1,CCG80614.1,CCG80614.1,CCG80614.1
XP_007872381.1,CCG80823.1,CCG80823.1,CCG80823.1,CCG80823.1
XP_007873235.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_007874860.1,CCG84346.1,CCG84346.1,CCG84346.1,CCG84346.1
XP_007874982.1,CCG80699.1,CCG80699.1,CCG80699.1,CCG80699.1
XP_007871956.1,CCG81697.1,CCG81697.1,CCG81697.1,CCG81697.1
XP_007874987.1,CCG81213.1,CCG81213.1,CCG81213.1,CCG81213.1
XP_007873631.1,CCG82698.1,CCG82698.1,CCG82698.1,CCG82698.1
XP_007871925.1,CCG83815.1,CCG83815.1,CCG83815.1,CCG83815.1
XP_007872316.1,CCG81616.1,CCG81616.1,CCG81616.1,CCG81616.1
XP_007873867.1,CCG82002.1,CCG82002.1,CCG82002.1,CCG82002.1
XP_007872608.1,CCG84382.1,CCG84382.1,CCG84382.1,CCG84382.1
XP_007874184.1,CCG81793.1,CCG81793.1,CCG81793.1,CCG81793.1
XP_007875003.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007873840.1,CCG83252.1,CCG83252.1,CCG83252.1,CCG83252.1
XP_007873779.1,CCG83690.1,CCG83690.1,CCG83690.1,CCG83690.1
XP_007874110.1,CCG81568.1,CCG81568.1,CCG81568.1,CCG81568.1
XP_007873086.2,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007874146.1,CCG82393.1,CCG82393.1,CCG82393.1,CCG82393.1
XP_007873947.1,CCG81092.1,CCG81092.1,CCG81092.1,CCG81092.1
XP_019613300.1,CCG81023.1,CCG81023.1,CCG81023.1,CCG81023.1
XP_007873774.1,CCG83752.1,CCG83752.1,CCG83752.1,CCG83752.1
XP_007873425.1,CCG81896.1,CCG81896.1,CCG81896.1,CCG81896.1
XP_007872419.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007875092.1,CCG80707.1,CCG80707.1,CCG80707.1,CCG80707.1
XP_007873713.1,CCG84373.1,CCG84373.1,CCG84373.1,CCG84373.1
XP_007875114.1,CCG83748.1,CCG83748.1,CCG83748.1,CCG83748.1
XP_007873087.1,CCG84337.1,CCG84337.1,CCG84337.1,CCG84337.1
XP_007872207.1,CCG83306.1,CCG83306.1,CCG83306.1,CCG83306.1
XP_007872920.1,CCG81568.1,CCG81568.1,CCG81568.1,CCG81568.1
XP_007872747.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007875683.1,CCG82509.1,CCG82509.1,CCG82509.1,CCG82509.1
XP_007874451.1,CCG82346.1,CCG82346.1,CCG82346.1,CCG82346.1
XP_007875019.1,CCG82482.1,CCG82482.1,CCG82482.1,CCG82482.1
XP_007872467.1,CCG81023.1,CCG81023.1,CCG81023.1,CCG81023.1
XP_007875501.1,CCG81248.1,CCG81248.1,CCG81248.1,CCG81248.1
XP_007872799.1,CCG82954.1,CCG82954.1,CCG82954.1,CCG82954.1
XP_007873472.1,CCG82598.1,CCG82598.1,CCG82598.1,CCG82598.1
XP_007873583.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007872965.1,CCG82948.1,CCG82948.1,CCG82948.1,CCG82948.1
XP_007875155.1,CCG83581.1,CCG83581.1,CCG83581.1,CCG83581.1
XP_007874732.1,CCG83104.2,CCG83104.2,CCG83104.2,CCG83104.2
XP_019613396.1,CCG80674.1,CCG80674.1,CCG80674.1,CCG80674.1
XP_007872085.1,CCG82142.1,CCG82142.1,CCG82142.1,CCG82142.1
XP_019613343.1,CCG82289.1,CCG82289.1,CCG82289.1,CCG82289.1
XP_007872254.1,CCG83766.1,CCG83766.1,CCG83766.1,CCG83766.1
XP_007873518.1,CCG84590.1,CCG84590.1,CCG84590.1,CCG84590.1
XP_007874737.1,CCG83614.1,CCG83614.1,CCG83614.1,CCG83614.1
XP_007872918.1,CCG81023.1,CCG81023.1,CCG81023.1,CCG81023.1
XP_007874416.1,CCG81419.1,CCG81419.1,CCG81419.1,CCG81419.1
XP_007874777.1,CCG81235.1,CCG81235.1,CCG81235.1,CCG81235.1
XP_007875151.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_007872561.1,CCG81255.1,CCG81255.1,CCG81255.1,CCG81255.1
XP_007873758.1,CCG84306.1,CCG84306.1,CCG84306.1,CCG84306.1
XP_007874036.1,CCG82344.1,CCG82344.1,CCG82344.1,CCG82344.1
XP_007875134.1,CCG81062.1,CCG81062.1,CCG81062.1,CCG81062.1
XP_007874158.1,CCG81462.1,CCG81462.1,CCG81462.1,CCG81462.1
XP_007875262.1,CCG84867.1,CCG84867.1,CCG84867.1,CCG84867.1
XP_007872237.1,CCG82942.1,CCG82942.1,CCG82942.1,CCG82942.1
XP_007872041.1,CCG81825.1,CCG81825.1,CCG81825.1,CCG81825.1
XP_007874624.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873591.1,CCG84890.1,CCG84890.1,CCG84890.1,CCG84890.1
XP_007875286.1,CCG83768.1,CCG83768.1,CCG83768.1,CCG83768.1
XP_007872971.1,CCG83683.1,CCG83683.1,CCG83683.1,CCG83683.1
XP_007873333.1,CCG83509.1,CCG83509.1,CCG83509.1,CCG83509.1
XP_007873717.1,CCG83901.1,CCG83901.1,CCG83901.1,CCG83901.1
XP_007873751.1,CCG84904.1,CCG84904.1,CCG84904.1,CCG84904.1
XP_007875109.1,CCG84689.1,CCG84689.1,CCG84689.1,CCG84689.1
XP_007874391.1,CCG84481.1,CCG84481.1,CCG84481.1,CCG84481.1
XP_007873188.1,CCG81527.1,CCG81527.1,CCG81527.1,CCG81527.1
XP_007871854.1,CCG81011.1,CCG81011.1,CCG81011.1,CCG81011.1
XP_007875256.1,CCG82142.1,CCG82142.1,CCG82142.1,CCG82142.1
XP_007875543.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872023.1,CCG84017.1,CCG84017.1,CCG84017.1,CCG84017.1
XP_007875573.1,CCG83713.1,CCG83713.1,CCG83713.1,CCG83713.1
XP_007872503.1,CCG81469.1,CCG81469.1,CCG81469.1,CCG81469.1
XP_007874825.1,CCG82948.1,CCG82948.1,CCG82948.1,CCG82948.1
XP_007874625.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873016.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874518.1,CCG84838.1,CCG84838.1,CCG84838.1,CCG84838.1
XP_007875039.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875179.1,CCG82407.1,CCG82407.1,CCG82407.1,CCG82407.1
XP_007875370.1,CCG82948.1,CCG82948.1,CCG82948.1,CCG82948.1
XP_007873773.1,CCG84764.1,CCG84764.1,CCG84764.1,CCG84764.1
XP_007874603.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007872593.1,CCG81978.1,CCG81978.1,CCG81978.1,CCG81978.1
XP_007872302.1,CCG82954.1,CCG82954.1,CCG82954.1,CCG82954.1
XP_007872336.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007875499.1,CCG83012.1,CCG83012.1,CCG83012.1,CCG83012.1
XP_007875604.1,CCG82947.1,CCG82947.1,CCG82947.1,CCG82947.1
XP_007874949.1,CCG82033.1,CCG82033.1,CCG82033.1,CCG82033.1
XP_019613311.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_019613364.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874682.1,CCG82686.1,CCG82686.1,CCG82686.1,CCG82686.1
XP_007874421.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007871851.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873939.1,CCG83489.1,CCG83489.1,CCG83489.1,CCG83489.1
XP_007874262.1,CCG80816.1,CCG80816.1,CCG80816.1,CCG80816.1
XP_007874664.1,CCG80857.1,CCG80857.1,CCG80857.1,CCG80857.1
XP_007872881.1,CCG84838.1,CCG84838.1,CCG84838.1,CCG84838.1
XP_007874576.1,CCG81364.1,CCG81364.1,CCG81364.1,CCG81364.1
XP_007875353.1,CCG81842.1,CCG81842.1,CCG81842.1,CCG81842.1
XP_007875192.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873455.1,CCG84880.1,CCG84880.1,CCG84880.1,CCG84880.1
XP_007875139.1,CCG82072.1,CCG82072.1,CCG82072.1,CCG82072.1
XP_007873907.1,CCG83227.1,CCG83227.1,CCG83227.1,CCG83227.1
XP_007874404.1,CCG84483.1,CCG84483.1,CCG84483.1,CCG84483.1
XP_019613307.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874239.1,CCG81551.1,CCG81551.1,CCG81551.1,CCG81551.1
XP_007874783.1,CCG81255.1,CCG81255.1,CCG81255.1,CCG81255.1
XP_007874702.1,CCG80651.1,CCG80651.1,CCG80651.1,CCG80651.1
XP_019613319.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874650.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007872270.1,CCG81016.1,CCG81016.1,CCG81016.1,CCG81016.1
XP_007875597.1,CCG83127.1,CCG83127.1,CCG83127.1,CCG83127.1
XP_007873653.1,CCG83369.1,CCG83369.1,CCG83369.1,CCG83369.1
XP_007875037.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_019613416.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872645.1,CCG84294.1,CCG84294.1,CCG84294.1,CCG84294.1
XP_007873249.1,CCG83250.1,CCG83250.1,CCG83250.1,CCG83250.1
XP_007874685.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007872402.1,CCG82509.1,CCG82509.1,CCG82509.1,CCG82509.1
XP_007874876.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875038.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_019613363.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872884.1,CCG83957.1,CCG83957.1,CCG83957.1,CCG83957.1
XP_019613320.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872560.1,CCG83833.1,CCG83833.1,CCG83833.1,CCG83833.1
XP_007874490.1,CCG83012.1,CCG83012.1,CCG83012.1,CCG83012.1
XP_007872170.1,CCG81440.1,CCG81440.1,CCG81440.1,CCG81440.1
XP_007872489.1,CCG81027.1,CCG81027.1,CCG81027.1,CCG81027.1
XP_007874985.1,CCG82037.1,CCG82037.1,CCG82037.1,CCG82037.1
XP_007875347.1,CCG82948.1,CCG82948.1,CCG82948.1,CCG82948.1
XP_007873818.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872863.1,CCG82527.1,CCG82527.1,CCG82527.1,CCG82527.1
XP_019613321.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873311.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873465.1,CCG81850.1,CCG81850.1,CCG81850.1,CCG81850.1
XP_007873339.1,CCG84890.1,CCG84890.1,CCG84890.1,CCG84890.1
XP_019613393.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_019613297.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874041.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875687.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_019613298.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007871860.1,CCG84884.1,CCG84884.1,CCG84884.1,CCG84884.1
XP_007874637.1,CCG83005.1,CCG83005.1,CCG83005.1,CCG83005.1
XP_007872644.1,CCG84960.1,CCG84960.1,CCG84960.1,CCG84960.1
XP_007872403.1,CCG80844.1,CCG80844.1,CCG80844.1,CCG80844.1
XP_007874420.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875036.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872386.1,CCG82705.1,CCG82705.1,CCG82705.1,CCG82705.1
XP_007875455.1,CCG81742.1,CCG81742.1,CCG81742.1,CCG81742.1
XP_007873827.1,CCG84167.1,CCG84167.1,CCG84167.1,CCG84167.1
XP_007874195.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872148.1,CCG81616.1,CCG81616.1,CCG81616.1,CCG81616.1
XP_007875246.1,CCG80667.1,CCG80667.1,CCG80667.1,CCG80667.1
XP_007875173.1,CCG84786.1,CCG84786.1,CCG84786.1,CCG84786.1
XP_007875346.1,CCG82519.1,CCG82519.1,CCG82519.1,CCG82519.1
XP_007872631.1,CCG82291.1,CCG82291.1,CCG82291.1,CCG82291.1
XP_007873021.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872223.1,CCG83171.1,CCG83171.1,CCG83171.1,CCG83171.1
XP_007872264.1,CCG84382.1,CCG84382.1,CCG84382.1,CCG84382.1
XP_007873590.1,CCG82067.1,CCG82067.1,CCG82067.1,CCG82067.1
XP_007874533.1,CCG82142.1,CCG82142.1,CCG82142.1,CCG82142.1
XP_007874321.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873603.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007874468.1,CCG80667.1,CCG80667.1,CCG80667.1,CCG80667.1
XP_007873669.1,CCG82584.1,CCG82584.1,CCG82584.1,CCG82584.1
XP_007872456.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872737.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
