,bfs,bts,graph,faiss
XP_018224486.1,CCG84812.1,CCG84812.1,CCG84812.1,CCG84812.1
XP_018225276.1,CCG82670.1,CCG82670.1,CCG82670.1,CCG82670.1
XP_018226782.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018225744.1,CCG82029.1,CCG82029.1,CCG82029.1,CCG82029.1
XP_018224326.1,CCG82755.1,CCG82755.1,CCG82755.1,CCG82755.1
XP_018226348.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018226646.1,CCG82056.1,CCG82056.1,CCG82056.1,CCG82056.1
XP_018225829.1,CCG84085.1,CCG84085.1,CCG84085.1,CCG84085.1
XP_018226360.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_018224465.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_018225238.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018227701.1,CCG82371.1,CCG82371.1,CCG82371.1,CCG82371.1
XP_018227408.1,CCG83265.1,CCG83265.1,CCG83265.1,CCG83265.1
XP_018227007.1,CCG81796.1,CCG81796.1,CCG81796.1,CCG81796.1
XP_018225341.1,CCG82864.2,CCG82864.2,CCG82864.2,CCG82864.2
XP_018225979.1,CCG81243.1,CCG81243.1,CCG81243.1,CCG81243.1
XP_018226012.1,CCG81009.1,CCG81009.1,CCG81009.1,CCG81009.1
XP_018225326.1,CCG82582.1,CCG82582.1,CCG82582.1,CCG82582.1
XP_018226618.1,CCG83995.1,CCG83995.1,CCG83995.1,CCG83995.1
XP_018226237.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_018226365.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_018227726.1,CCG81213.1,CCG81213.1,CCG81213.1,CCG81213.1
XP_018224879.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_018224256.1,CCG84634.1,CCG84634.1,CCG84634.1,CCG84634.1
XP_018224461.1,CCG84765.1,CCG84765.1,CCG84765.1,CCG84765.1
XP_018225516.1,CCG82124.1,CCG82124.1,CCG82124.1,CCG82124.1
XP_018225644.1,CCG80715.1,CCG80715.1,CCG80715.1,CCG80715.1
XP_018224533.1,CCG81738.1,CCG81738.1,CCG81738.1,CCG81738.1
XP_018225251.1,CCG83995.1,CCG83995.1,CCG83995.1,CCG83995.1
XP_018227285.1,CCG81844.1,CCG81844.1,CCG81844.1,CCG81844.1
XP_018224184.1,CCG83319.1,CCG83319.1,CCG83319.1,CCG83319.1
XP_018225936.1,CCG80985.1,CCG80985.1,CCG80985.1,CCG80985.1
XP_018225635.1,CCG80699.1,CCG80699.1,CCG80699.1,CCG80699.1
XP_018227618.1,CCG83717.1,CCG83717.1,CCG83717.1,CCG83717.1
XP_018225298.1,CCG82086.1,CCG82086.1,CCG82086.1,CCG82086.1
XP_018226906.1,CCG82037.1,CCG82037.1,CCG82037.1,CCG82037.1
XP_018224534.1,CCG80561.1,CCG80561.1,CCG83465.1,CCG80561.1
XP_018225983.1,CCG83571.1,CCG83571.1,CCG83571.1,CCG83571.1
XP_018227131.1,ABM26987.1,ABM26987.1,ABM26987.1,ABM26987.1
XP_018225369.1,CCG81175.1,CCG81175.1,CCG81175.1,CCG81175.1
XP_018225449.1,CCG82051.1,CCG82051.1,CCG82051.1,CCG82051.1
XP_018224903.1,CCG82814.2,CCG82814.2,CCG82814.2,CCG82814.2
XP_018226651.1,CCG82813.1,CCG82813.1,CCG82813.1,CCG82813.1
XP_018224387.1,CCG84085.1,CCG84085.1,CCG84085.1,CCG84085.1
XP_018225018.1,CCG82131.1,CCG82131.1,CCG82131.1,CCG82131.1
XP_018224723.1,CCG80969.1,CCG80969.1,CCG80969.1,CCG80969.1
XP_018225257.1,CCG83927.1,CCG83927.1,CCG83927.1,CCG83927.1
XP_018226349.1,CCG81978.1,CCG81978.1,CCG81978.1,CCG81978.1
XP_018227523.1,CCG83768.1,CCG83768.1,CCG83768.1,CCG83768.1
XP_018224984.1,CCG82029.1,CCG82029.1,CCG82029.1,CCG82029.1
