,bfs,bts,graph,faiss
XP_018224486.1,NP_013207.1,NP_013207.1,NP_013207.1,NP_013207.1
XP_018225276.1,NP_012980.1,NP_012980.1,NP_012980.1,NP_012980.1
XP_018226782.1,NP_011967.1,NP_011967.1,NP_011967.1,NP_011967.1
XP_018225744.1,NP_010745.3,NP_010745.3,NP_010745.3,NP_010745.3
XP_018224326.1,NP_013060.1,NP_013060.1,NP_013060.1,NP_013060.1
XP_018226348.1,NP_009465.2,NP_009465.2,NP_009465.2,NP_009465.2
XP_018226646.1,NP_013559.1,NP_013559.1,NP_013559.1,NP_013559.1
XP_018225829.1,NP_011320.3,NP_011320.3,NP_011320.3,NP_011320.3
XP_018226360.1,NP_009551.2,NP_009551.2,NP_009551.2,NP_009551.2
XP_018224465.1,NP_009961.2,NP_009961.2,NP_009961.2,NP_009961.2
XP_018225238.1,NP_009694.3,NP_009694.3,NP_009694.3,NP_009694.3
XP_018227701.1,NP_012035.1,NP_012035.1,NP_012035.1,NP_012035.1
XP_018227408.1,NP_012719.2,NP_012719.2,NP_012719.2,NP_012719.2
XP_018227007.1,NP_011888.1,NP_011888.1,NP_011888.1,NP_011888.1
XP_018225341.1,NP_013934.1,NP_013934.1,NP_013934.1,NP_013934.1
XP_018225979.1,NP_012137.3,NP_012137.3,NP_012137.3,NP_012137.3
XP_018226012.1,NP_012405.2,NP_012405.2,NP_012405.2,NP_012405.2
XP_018225326.1,NP_014137.1,NP_014137.1,NP_014137.1,NP_014137.1
XP_018226618.1,NP_011099.1,NP_011099.1,NP_011099.1,NP_011099.1
XP_018226237.1,NP_010017.2,NP_010017.2,NP_010017.2,NP_010017.2
XP_018226365.1,NP_013124.1,NP_013124.1,NP_013124.1,NP_013124.1
XP_018227726.1,NP_116674.2,NP_116674.2,NP_116674.2,NP_116674.2
XP_018224879.1,NP_012328.1,NP_012328.1,NP_012328.1,NP_012328.1
XP_018224256.1,NP_013424.1,NP_013424.1,NP_013424.1,NP_013424.1
XP_018224461.1,NP_014260.3,NP_014260.3,NP_014260.3,NP_014260.3
XP_018225516.1,NP_011612.3,NP_011612.3,NP_011612.3,NP_011612.3
XP_018225644.1,NP_013446.1,NP_013446.1,NP_013446.1,NP_013446.1
XP_018224533.1,NP_013021.1,NP_013021.1,NP_013021.1,NP_013021.1
XP_018225251.1,NP_011787.4,NP_011787.4,NP_011787.4,NP_011787.4
XP_018227285.1,NP_013534.3,NP_013534.3,NP_013534.3,NP_013534.3
XP_018224184.1,NP_116648.2,NP_116648.2,NP_116648.2,NP_116648.2
XP_018225936.1,NP_011082.3,NP_011082.3,NP_011082.3,NP_011082.3
XP_018225635.1,NP_010454.3,NP_010454.3,NP_010454.3,NP_010454.3
XP_018227618.1,NP_015243.1,NP_015243.1,NP_015243.1,NP_015243.1
XP_018225298.1,NP_013408.1,NP_013408.1,NP_013408.1,NP_013408.1
XP_018226906.1,NP_011833.1,NP_011833.1,NP_011833.1,NP_011833.1
XP_018224534.1,NP_011423.1,NP_011423.1,NP_011423.1,NP_011423.1
XP_018225983.1,NP_012911.3,NP_012911.3,NP_012911.3,NP_012911.3
XP_018227131.1,NP_010141.1,NP_010141.1,NP_010141.1,NP_010141.1
XP_018225369.1,NP_010466.3,NP_010466.3,NP_010466.3,NP_010466.3
XP_018225449.1,NP_012426.1,NP_012426.1,NP_012426.1,NP_012426.1
XP_018224903.1,NP_010425.1,NP_010425.1,NP_010425.1,NP_010425.1
XP_018226651.1,NP_013956.1,NP_013956.1,NP_013956.1,NP_013956.1
XP_018224387.1,NP_014102.1,NP_014102.1,NP_014102.1,NP_014102.1
XP_018225018.1,NP_015240.1,NP_015240.1,NP_015240.1,NP_015240.1
XP_018224723.1,NP_012674.1,NP_012674.1,NP_012674.1,NP_012674.1
XP_018225257.1,NP_014986.3,NP_014986.3,NP_014986.3,NP_014986.3
XP_018226349.1,NP_012495.1,NP_012495.1,NP_012495.1,NP_012495.1
XP_018227523.1,NP_011309.1,NP_011309.1,NP_011309.1,NP_011309.1
XP_018224984.1,NP_012915.3,NP_012915.3,NP_012915.3,NP_012915.3
